name,scene,seed,variant,task_success,qualified_task_success,audit_qualification,strict_success,eligible_for_summary,runner_status,wall_time_s,error,native_contact_steps
01_ProcTHOR-Train-283_seed100_dynamic,ProcTHOR-Train-283,100,dynamic,False,False,,False,True,completed,9540.767127230763,TimeoutError('Declared simulation-time budget exceeded'),
01_ProcTHOR-Train-283_seed100_static,ProcTHOR-Train-283,100,static,True,True,passed,True,True,completed,4160.70827613771,,0
01_ProcTHOR-Train-283_seed101_dynamic,ProcTHOR-Train-283,101,dynamic,False,False,,False,True,completed,5880.530904635787,,
01_ProcTHOR-Train-283_seed101_static,ProcTHOR-Train-283,101,static,False,False,,False,True,completed,6012.743080891669,,
01_ProcTHOR-Train-283_seed102_dynamic,ProcTHOR-Train-283,102,dynamic,False,False,,False,True,completed,11202.606241472065,TimeoutError('Declared simulation-time budget exceeded'),
01_ProcTHOR-Train-283_seed102_static,ProcTHOR-Train-283,102,static,False,False,,False,True,completed,11259.00829603523,TimeoutError('Declared simulation-time budget exceeded'),
02_ProcTHOR-Train-8361_seed100_dynamic,ProcTHOR-Train-8361,100,dynamic,False,False,,False,True,completed,4265.180564068258,,
02_ProcTHOR-Train-8361_seed100_static,ProcTHOR-Train-8361,100,static,False,False,,False,True,completed,4475.05765312165,,
02_ProcTHOR-Train-8361_seed101_dynamic,ProcTHOR-Train-8361,101,dynamic,True,True,passed,True,True,completed,3670.456107445061,,0
02_ProcTHOR-Train-8361_seed101_static,ProcTHOR-Train-8361,101,static,True,True,passed,True,True,completed,3830.1337963715196,,0
02_ProcTHOR-Train-8361_seed102_dynamic,ProcTHOR-Train-8361,102,dynamic,True,True,passed,True,True,completed,6388.3552219718695,,0
02_ProcTHOR-Train-8361_seed102_static,ProcTHOR-Train-8361,102,static,True,True,passed,True,True,completed,6806.411035895348,,0
03_ProcTHOR-Train-9031_seed100_dynamic,ProcTHOR-Train-9031,100,dynamic,True,True,passed,False,True,completed,2287.1802020072937,,0
03_ProcTHOR-Train-9031_seed100_static,ProcTHOR-Train-9031,100,static,True,True,passed,True,True,completed,3320.672354377806,,0
03_ProcTHOR-Train-9031_seed101_dynamic,ProcTHOR-Train-9031,101,dynamic,True,True,passed,False,True,completed,4606.487405695021,,0
03_ProcTHOR-Train-9031_seed101_static,ProcTHOR-Train-9031,101,static,True,True,passed,False,True,completed,4180.992511086166,,0
03_ProcTHOR-Train-9031_seed102_dynamic,ProcTHOR-Train-9031,102,dynamic,True,True,passed,False,True,completed,3731.504898376763,,0
03_ProcTHOR-Train-9031_seed102_static,ProcTHOR-Train-9031,102,static,True,True,passed,False,True,completed,4444.68300537765,,0
04_ProcTHOR-Train-5318_seed100_dynamic,ProcTHOR-Train-5318,100,dynamic,True,True,passed,True,True,completed,3282.1809610053897,,0
04_ProcTHOR-Train-5318_seed100_static,ProcTHOR-Train-5318,100,static,True,True,passed,True,True,completed,3391.296069547534,,0
04_ProcTHOR-Train-5318_seed101_dynamic,ProcTHOR-Train-5318,101,dynamic,False,False,,False,True,completed,2754.535459563136,,
04_ProcTHOR-Train-5318_seed101_static,ProcTHOR-Train-5318,101,static,False,False,,False,True,completed,2863.112632960081,,
04_ProcTHOR-Train-5318_seed102_dynamic,ProcTHOR-Train-5318,102,dynamic,True,True,passed,True,True,completed,8656.814115963876,,0
04_ProcTHOR-Train-5318_seed102_static,ProcTHOR-Train-5318,102,static,True,True,passed,True,True,completed,4052.3311468437314,,0
05_ArchitecTHOR-Test-02_seed100_dynamic,ArchitecTHOR-Test-02,100,dynamic,False,False,,False,True,completed,2064.3037553206086,,
05_ArchitecTHOR-Test-02_seed100_static,ArchitecTHOR-Test-02,100,static,False,False,,False,True,completed,2051.698122449219,,
05_ArchitecTHOR-Test-02_seed101_dynamic,ArchitecTHOR-Test-02,101,dynamic,False,False,,False,True,completed,9000.421909727156,TimeoutError('Declared simulation-time budget exceeded'),
05_ArchitecTHOR-Test-02_seed101_static,ArchitecTHOR-Test-02,101,static,False,False,,False,True,completed,9556.29898968339,TimeoutError('Declared simulation-time budget exceeded'),
05_ArchitecTHOR-Test-02_seed102_dynamic,ArchitecTHOR-Test-02,102,dynamic,False,False,,False,True,completed,10049.600829131901,,
05_ArchitecTHOR-Test-02_seed102_static,ArchitecTHOR-Test-02,102,static,False,False,,False,True,completed,10205.598391644657,,
06_ProcTHOR-Train-5080_seed100_dynamic,ProcTHOR-Train-5080,100,dynamic,False,False,,False,True,completed,8372.716388240457,TimeoutError('Declared simulation-time budget exceeded'),
06_ProcTHOR-Train-5080_seed100_static,ProcTHOR-Train-5080,100,static,False,False,,False,True,completed,8282.593543678522,TimeoutError('Declared simulation-time budget exceeded'),
