name,scene,seed,variant,task_success,qualified_task_success,audit_qualification,strict_success,eligible_for_summary,runner_status,wall_time_s,error,native_contact_steps
01_ProcTHOR-Train-283_seed100_dynamic,ProcTHOR-Train-283,100,dynamic,True,True,passed,True,True,completed,2076.628266841173,,0
01_ProcTHOR-Train-283_seed100_static,ProcTHOR-Train-283,100,static,True,True,passed,True,True,completed,1964.624544300139,,0
01_ProcTHOR-Train-283_seed101_dynamic,ProcTHOR-Train-283,101,dynamic,False,False,,False,True,completed,2450.4118506088853,,
01_ProcTHOR-Train-283_seed101_static,ProcTHOR-Train-283,101,static,False,False,,False,True,completed,2904.175174124539,,
01_ProcTHOR-Train-283_seed102_dynamic,ProcTHOR-Train-283,102,dynamic,False,False,,False,True,completed,4151.943036876619,TimeoutError('Declared simulation-time budget exceeded'),
01_ProcTHOR-Train-283_seed102_static,ProcTHOR-Train-283,102,static,False,False,,False,True,completed,4693.8773058876395,TimeoutError('Declared simulation-time budget exceeded'),
02_ProcTHOR-Train-8361_seed100_dynamic,ProcTHOR-Train-8361,100,dynamic,False,False,,False,True,completed,1673.9583138152957,,
02_ProcTHOR-Train-8361_seed100_static,ProcTHOR-Train-8361,100,static,False,False,,False,True,completed,1641.1741722300649,,
02_ProcTHOR-Train-8361_seed101_dynamic,ProcTHOR-Train-8361,101,dynamic,True,True,passed,True,True,completed,2047.5448056533933,,0
02_ProcTHOR-Train-8361_seed101_static,ProcTHOR-Train-8361,101,static,True,True,passed,True,True,completed,2073.109236046672,,0
02_ProcTHOR-Train-8361_seed102_dynamic,ProcTHOR-Train-8361,102,dynamic,True,True,passed,True,True,completed,2371.638419367373,,0
02_ProcTHOR-Train-8361_seed102_static,ProcTHOR-Train-8361,102,static,True,True,passed,True,True,completed,3289.2962817400694,,0
03_ProcTHOR-Train-9031_seed100_dynamic,ProcTHOR-Train-9031,100,dynamic,True,True,passed,False,True,completed,1201.4309468343854,,0
03_ProcTHOR-Train-9031_seed100_static,ProcTHOR-Train-9031,100,static,True,True,passed,True,True,completed,1200.1855955719948,,0
03_ProcTHOR-Train-9031_seed101_dynamic,ProcTHOR-Train-9031,101,dynamic,True,True,passed,False,True,completed,1141.3476502746344,,0
03_ProcTHOR-Train-9031_seed101_static,ProcTHOR-Train-9031,101,static,True,True,passed,False,True,completed,1255.57011911273,,0
03_ProcTHOR-Train-9031_seed102_dynamic,ProcTHOR-Train-9031,102,dynamic,True,True,passed,False,True,completed,1139.5625749528408,,0
03_ProcTHOR-Train-9031_seed102_static,ProcTHOR-Train-9031,102,static,True,True,passed,False,True,completed,1205.4972458705306,,0
04_ProcTHOR-Train-5318_seed100_dynamic,ProcTHOR-Train-5318,100,dynamic,True,True,passed,True,True,completed,1017.7164094522595,,0
04_ProcTHOR-Train-5318_seed100_static,ProcTHOR-Train-5318,100,static,True,True,passed,True,True,completed,1037.0381199792027,,0
04_ProcTHOR-Train-5318_seed101_dynamic,ProcTHOR-Train-5318,101,dynamic,True,True,passed,True,True,completed,981.213310547173,,0
04_ProcTHOR-Train-5318_seed101_static,ProcTHOR-Train-5318,101,static,True,True,passed,True,True,completed,979.6580204516649,,0
04_ProcTHOR-Train-5318_seed102_dynamic,ProcTHOR-Train-5318,102,dynamic,True,True,passed,True,True,completed,1056.9013554900885,,0
04_ProcTHOR-Train-5318_seed102_static,ProcTHOR-Train-5318,102,static,True,True,passed,True,True,completed,1044.3324014991522,,0
05_ArchitecTHOR-Test-02_seed100_dynamic,ArchitecTHOR-Test-02,100,dynamic,True,True,passed,False,True,completed,4013.4858240559697,,0
05_ArchitecTHOR-Test-02_seed100_static,ArchitecTHOR-Test-02,100,static,False,False,,False,True,completed,4545.998845651746,,
