name,scene,seed,variant,task_success,qualified_task_success,audit_qualification,strict_success,eligible_for_summary,runner_status,wall_time_s,error,native_contact_steps
01_ProcTHOR-Test-722_seed42_dynamic,ProcTHOR-Test-722,42,dynamic,True,True,passed,True,True,completed,1433.3790088891983,,0
02_ProcTHOR-Train-8471_seed42_dynamic,ProcTHOR-Train-8471,42,dynamic,False,False,,False,True,completed,327.2389281243086,,
03_ProcTHOR-Train-6452_seed42_dynamic,ProcTHOR-Train-6452,42,dynamic,False,False,,False,True,completed,4638.186314031482,,
04_ProcTHOR-Train-2043_seed42_dynamic,ProcTHOR-Train-2043,42,dynamic,True,True,passed,True,True,completed,1038.9478320032358,,0
05_ProcTHOR-Test-288_seed42_dynamic,ProcTHOR-Test-288,42,dynamic,True,True,passed,True,True,completed,2427.280136860907,,0
06_ProcTHOR-Train-4300_seed42_dynamic,ProcTHOR-Train-4300,42,dynamic,True,True,passed,True,True,completed,1515.241075500846,,0
07_ProcTHOR-Train-1402_seed42_dynamic,ProcTHOR-Train-1402,42,dynamic,True,True,passed,False,True,completed,1419.651365891099,,0
08_ProcTHOR-Train-7473_seed42_dynamic,ProcTHOR-Train-7473,42,dynamic,False,False,,False,True,completed,6217.254472129047,TimeoutError('Declared simulation-time budget exceeded'),
09_ProcTHOR-Test-166_seed42_dynamic,ProcTHOR-Test-166,42,dynamic,True,True,passed,True,True,completed,1620.7680630460382,,0
10_ProcTHOR-Test-459_seed42_dynamic,ProcTHOR-Test-459,42,dynamic,True,True,passed,False,True,completed,1401.4866893664002,,0
11_ProcTHOR-Train-3859_seed42_dynamic,ProcTHOR-Train-3859,42,dynamic,True,True,passed,True,True,completed,1598.083939999342,,0
12_ProcTHOR-Train-4108_seed42_dynamic,ProcTHOR-Train-4108,42,dynamic,False,False,,False,True,completed,4697.320513926446,,
13_ProcTHOR-Train-7780_seed42_dynamic,ProcTHOR-Train-7780,42,dynamic,False,False,,False,True,completed,1171.895331658423,,
14_ProcTHOR-Train-8921_seed42_dynamic,ProcTHOR-Train-8921,42,dynamic,True,True,passed,False,True,completed,954.303947687149,,0
15_ProcTHOR-Train-2769_seed42_dynamic,ProcTHOR-Train-2769,42,dynamic,False,False,,False,True,completed,4300.101974748075,,
16_ProcTHOR-Train-507_seed42_dynamic,ProcTHOR-Train-507,42,dynamic,False,False,,False,True,completed,2243.549128860235,,
17_ProcTHOR-Train-9926_seed42_dynamic,ProcTHOR-Train-9926,42,dynamic,True,True,passed,True,True,completed,1123.8444897383451,,0
18_ProcTHOR-Train-3208_seed42_dynamic,ProcTHOR-Train-3208,42,dynamic,False,False,,False,True,completed,4471.030690088868,,
19_ProcTHOR-Train-4204_seed42_dynamic,ProcTHOR-Train-4204,42,dynamic,True,True,passed,True,True,completed,2005.9681376442313,,0
20_ProcTHOR-Train-8432_seed42_dynamic,ProcTHOR-Train-8432,42,dynamic,False,False,,False,True,completed,876.8991219550371,,
21_ProcTHOR-Test-308_seed42_dynamic,ProcTHOR-Test-308,42,dynamic,False,False,,False,True,completed,593.5772821754217,,
22_ProcTHOR-Train-3170_seed42_dynamic,ProcTHOR-Train-3170,42,dynamic,True,True,passed,True,True,completed,1171.5701062306762,,0
23_ProcTHOR-Val-265_seed42_dynamic,ProcTHOR-Val-265,42,dynamic,True,False,native_contact_rejected,False,True,completed,1180.180644132197,,15
24_ProcTHOR-Train-9699_seed42_dynamic,ProcTHOR-Train-9699,42,dynamic,False,False,,False,True,completed,1029.205057427287,,
