name,scene,seed,variant,runner_status,reported_task_success,reported_strict_success,task_success,eligible_for_summary,simulation_seconds,technical_failure
01_ProcTHOR-Train-283_seed100_dynamic,ProcTHOR-Train-283,100,dynamic,completed,False,False,False,True,1200.0,False
01_ProcTHOR-Train-283_seed100_static,ProcTHOR-Train-283,100,static,completed,True,True,True,True,560.05,False
01_ProcTHOR-Train-283_seed101_dynamic,ProcTHOR-Train-283,101,dynamic,completed,False,False,False,True,848.8,False
01_ProcTHOR-Train-283_seed101_static,ProcTHOR-Train-283,101,static,completed,False,False,False,True,1200.0,False
01_ProcTHOR-Train-283_seed102_dynamic,ProcTHOR-Train-283,102,dynamic,completed,False,False,False,True,1200.0,False
01_ProcTHOR-Train-283_seed102_static,ProcTHOR-Train-283,102,static,completed,False,False,False,True,1200.0,False
02_ProcTHOR-Train-8361_seed100_dynamic,ProcTHOR-Train-8361,100,dynamic,completed,False,False,False,True,587.4,False
02_ProcTHOR-Train-8361_seed100_static,ProcTHOR-Train-8361,100,static,completed,False,False,False,True,587.4,False
02_ProcTHOR-Train-8361_seed101_dynamic,ProcTHOR-Train-8361,101,dynamic,completed,True,True,True,True,519.5,False
02_ProcTHOR-Train-8361_seed101_static,ProcTHOR-Train-8361,101,static,completed,False,False,False,True,909.15,False
02_ProcTHOR-Train-8361_seed102_dynamic,ProcTHOR-Train-8361,102,dynamic,completed,True,True,True,True,940.0,False
02_ProcTHOR-Train-8361_seed102_static,ProcTHOR-Train-8361,102,static,completed,False,False,False,True,654.35,False
03_ProcTHOR-Train-9031_seed100_dynamic,ProcTHOR-Train-9031,100,dynamic,completed,False,False,False,True,287.4,False
03_ProcTHOR-Train-9031_seed100_static,ProcTHOR-Train-9031,100,static,completed,True,True,True,True,471.4,False
03_ProcTHOR-Train-9031_seed101_dynamic,ProcTHOR-Train-9031,101,dynamic,completed,True,False,True,True,587.75,False
03_ProcTHOR-Train-9031_seed101_static,ProcTHOR-Train-9031,101,static,completed,True,False,True,True,654.75,False
03_ProcTHOR-Train-9031_seed102_dynamic,ProcTHOR-Train-9031,102,dynamic,completed,False,False,False,True,457.8,False
03_ProcTHOR-Train-9031_seed102_static,ProcTHOR-Train-9031,102,static,completed,True,False,True,True,549.05,False
04_ProcTHOR-Train-5318_seed100_dynamic,ProcTHOR-Train-5318,100,dynamic,completed,False,False,False,True,512.7,False
04_ProcTHOR-Train-5318_seed100_static,ProcTHOR-Train-5318,100,static,completed,False,False,False,True,512.7,False
04_ProcTHOR-Train-5318_seed101_dynamic,ProcTHOR-Train-5318,101,dynamic,completed,False,False,False,True,409.5,False
04_ProcTHOR-Train-5318_seed101_static,ProcTHOR-Train-5318,101,static,completed,False,False,False,True,1200.0,False
04_ProcTHOR-Train-5318_seed102_dynamic,ProcTHOR-Train-5318,102,dynamic,completed,False,False,False,True,428.25,False
04_ProcTHOR-Train-5318_seed102_static,ProcTHOR-Train-5318,102,static,completed,False,False,False,True,428.25,False
05_ArchitecTHOR-Test-02_seed100_dynamic,ArchitecTHOR-Test-02,100,dynamic,completed,False,False,False,True,1200.0,False
05_ArchitecTHOR-Test-02_seed100_static,ArchitecTHOR-Test-02,100,static,completed,False,False,False,True,1200.0,False
05_ArchitecTHOR-Test-02_seed101_dynamic,ArchitecTHOR-Test-02,101,dynamic,completed,False,False,False,True,1200.0,False
05_ArchitecTHOR-Test-02_seed101_static,ArchitecTHOR-Test-02,101,static,completed,False,False,False,True,1200.0,False
05_ArchitecTHOR-Test-02_seed102_dynamic,ArchitecTHOR-Test-02,102,dynamic,completed,False,False,False,True,1200.0,False
05_ArchitecTHOR-Test-02_seed102_static,ArchitecTHOR-Test-02,102,static,completed,False,False,False,True,1200.0,False
06_ProcTHOR-Train-5080_seed100_dynamic,ProcTHOR-Train-5080,100,dynamic,completed,False,False,False,True,1200.0,False
06_ProcTHOR-Train-5080_seed100_static,ProcTHOR-Train-5080,100,static,completed,False,False,False,True,1200.0,False
06_ProcTHOR-Train-5080_seed101_dynamic,ProcTHOR-Train-5080,101,dynamic,completed,True,False,True,True,399.35,False
06_ProcTHOR-Train-5080_seed101_static,ProcTHOR-Train-5080,101,static,completed,True,False,True,True,394.05,False
06_ProcTHOR-Train-5080_seed102_dynamic,ProcTHOR-Train-5080,102,dynamic,completed,True,False,True,True,405.5,False
06_ProcTHOR-Train-5080_seed102_static,ProcTHOR-Train-5080,102,static,completed,True,False,True,True,405.4,False
07_ProcTHOR-Test-244_seed100_dynamic,ProcTHOR-Test-244,100,dynamic,completed,False,False,False,True,484.3,False
07_ProcTHOR-Test-244_seed100_static,ProcTHOR-Test-244,100,static,completed,False,False,False,True,1200.0,False
07_ProcTHOR-Test-244_seed101_dynamic,ProcTHOR-Test-244,101,dynamic,completed,False,False,False,True,402.7,False
07_ProcTHOR-Test-244_seed101_static,ProcTHOR-Test-244,101,static,completed,False,False,False,True,390.5,False
07_ProcTHOR-Test-244_seed102_dynamic,ProcTHOR-Test-244,102,dynamic,completed,False,False,False,True,603.25,False
07_ProcTHOR-Test-244_seed102_static,ProcTHOR-Test-244,102,static,completed,False,False,False,True,603.25,False
08_ArchitecTHOR-Val-01_seed100_dynamic,ArchitecTHOR-Val-01,100,dynamic,completed,True,True,True,True,359.95,False
08_ArchitecTHOR-Val-01_seed100_static,ArchitecTHOR-Val-01,100,static,completed,False,False,False,True,297.3,False
08_ArchitecTHOR-Val-01_seed101_dynamic,ArchitecTHOR-Val-01,101,dynamic,completed,False,False,False,True,293.5,False
08_ArchitecTHOR-Val-01_seed101_static,ArchitecTHOR-Val-01,101,static,completed,False,False,False,True,1200.0,False
08_ArchitecTHOR-Val-01_seed102_dynamic,ArchitecTHOR-Val-01,102,dynamic,completed,False,False,False,True,289.55,False
08_ArchitecTHOR-Val-01_seed102_static,ArchitecTHOR-Val-01,102,static,completed,False,False,False,True,1200.0,False
09_ProcTHOR-Val-632_seed100_dynamic,ProcTHOR-Val-632,100,dynamic,completed,False,False,False,True,661.8,False
09_ProcTHOR-Val-632_seed100_static,ProcTHOR-Val-632,100,static,completed,False,False,False,True,1079.25,False
09_ProcTHOR-Val-632_seed101_dynamic,ProcTHOR-Val-632,101,dynamic,completed,False,False,False,True,471.75,False
09_ProcTHOR-Val-632_seed101_static,ProcTHOR-Val-632,101,static,completed,False,False,False,True,1200.0,False
09_ProcTHOR-Val-632_seed102_dynamic,ProcTHOR-Val-632,102,dynamic,completed,False,False,False,True,575.35,False
09_ProcTHOR-Val-632_seed102_static,ProcTHOR-Val-632,102,static,completed,False,False,False,True,222.75,False
10_ProcTHOR-Train-7819_seed100_dynamic,ProcTHOR-Train-7819,100,dynamic,completed,False,False,False,True,1200.0,False
10_ProcTHOR-Train-7819_seed100_static,ProcTHOR-Train-7819,100,static,completed,False,False,False,True,1200.0,False
10_ProcTHOR-Train-7819_seed101_dynamic,ProcTHOR-Train-7819,101,dynamic,completed,True,True,True,True,1140.7,False
10_ProcTHOR-Train-7819_seed101_static,ProcTHOR-Train-7819,101,static,completed,False,False,False,True,1067.35,False
10_ProcTHOR-Train-7819_seed102_dynamic,ProcTHOR-Train-7819,102,dynamic,completed,False,False,False,True,1200.0,False
10_ProcTHOR-Train-7819_seed102_static,ProcTHOR-Train-7819,102,static,completed,False,False,False,True,1115.9,False
